"en","woeid","zh","prov","long","lat","low","high"
"beijing",2151330,"北京","北京市",116.4666667,39.9,-7,0
"shanghai",2151849,"上海","上海市",121.4833333,31.23333333,6,9
"tianji",2159908,"天津","天津市",117.1833333,39.15,-5,0
"chongqing",20070171,"重庆","重庆市",106.5333333,29.53333333,9,17
"harbin",2141166,"哈尔滨","黑龙江省",126.6833333,45.75,-22,-16
"changchun",2137321,"长春","吉林省",125.3166667,43.86666667,-19,-14
"shenyang",2148332,"沈阳","辽宁省",123.4,41.83333333,-19,-8
"hohhot",2149760,"呼和浩特","内蒙古自治区",111.8,40.81666667,-9,-3
"shijiazhuang",2171287,"石家庄","河北省",114.4666667,38.03333333,-6,1
"wulumuqi",26198317,"乌鲁木齐","新疆维吾尔自治区",87.6,43.8,-12,-5
"lanzhou",2145605,"兰州","甘肃省",103.8166667,36.05,-10,7
"xining",2138941,"西宁","青海省",101.75,36.63333333,-10,12
"xian",2157249,"西安","陕西省",108.9,34.26666667,1,11
"yinchuan",2150551,"银川","宁夏回族自治区",106.2666667,38.33333333,-7,7
"zhengzhou",2172736,"郑州","河南省",113.7,34.8,-3,2
"jinan",2168327,"济南","山东省",117,36.63333333,-3,2
"taiyuan",2154547,"太原","山西省",112.5666667,37.86666667,-6,6
"hefei",2127866,"合肥","安徽省",117.3,31.85,3,7
"wuhan",2163866,"武汉","湖北省",114.35,30.61666667,4,8
"changsha",26198213,"长沙","湖南省",113,28.18333333,7,14
"nanjing",2137081,"南京","江苏省",118.8333333,32.03333333,3,8
"chengdu",2158433,"成都","四川省",104.0833333,30.65,8,18
"guiyang",2146703,"贵阳","贵州省",106.7,26.58333333,11,20
"kunming",2160693,"昆明","云南省",102.6833333,25,1,16
"nanning",2166473,"南宁","广西壮族自治区",108.3333333,22.8,17,21
"lasa",26198235,"拉萨","西藏自治区",91.16666667,29.66666667,-8,8
"hangzhou",2132574,"杭州","浙江省",120.15,30.23333333,6,11
"nanchang",26198151,"南昌","江西省",115.8666667,28.68333333,9,16
"guangzhou",2161838,"广州","广东省",113.25,23.13333333,18,24
"fuzhou",2139963,"福州","福建省",119.3,26.08333333,13,22
"taipei",2306179,"台北","台湾省",121.5166667,25.05,19,26
"haikou",2162779,"海口","海南省",110.3333333,20.03333333,19,26
"hongkong",24865698,"香港","香港特别行政区",114.1666667,22.3,19,22
